Measure,Sur_tstat,Sur_Pvalue
CTW,-0.962742514731391,0.337360702087297
LZC,-0.436170353674478,0.663394717658594
PermEn32,0,1
PermEn64,2.09048840087127e-13,0.999999999999833
MSE,-0.067432870155645,0.9463347038026
SE,2.4532067254858,0.0154057657934876
