Var1,tStatAGE,PvalsAGE,Var4,Var5,Var6,Var7
CTW,-2.32613769389307,0.0229998046624025,1,-0.000400660964003347,-0.000744366544203694,-5.69553838030004e-05
LZC,-2.11281109554744,0.0382908319750193,0,-0.0690958660427703,-0.134354257703603,-0.00383747438193792
PermEn32,-3.2830609519211,0.00162376779987183,1,-0.000692038555746857,-0.00111266475110774,-0.000271412360385978
PermEn64,-1.47050568092901,0.14603713831074,0,-0.000179230881340833,-0.000422446300299619,6.39845376179528e-05
MSE,-2.05825598536228,0.0434004520098918,0,-0.00149347101440199,-0.00294138372808987,-4.55583007141166e-05
SE,-2.5843756928416,0.0119067988895756,1,-8.13452765841331e-05,-0.000144154245338876,-1.85363078293899e-05
